PaymentType,RealShippingDays,ScheduledShippingDays,Benefit,Sales,DeliveryStatus,Late_delivery_risk,ProductCategoryId,ProductCategoryName,CustomerCity,CustomerCountry,CustomerEmail,CustomerFname,CustomerId,CustomerLname,CustomerPassword,CustomerSegment,CustomerState,CustomerStreet,CustomerZipcode,DepartmentId,DepartmentName,Latitude,Longitude,Market,OrderCity,OrderCountry,OrderCustomerId,OrderTimestamp,OrderId,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,ProductPrice,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,OrderRegion,OrderState,OrderStatus,OrderZipcode,ProductCardId,ProductCategoryId,ProductDescription,ProductImage,ProductName,ProductPrice,ProductStatus,ShippingTimestamp,ShippingMode
TRANSFER,4,4,70.19999695,180,Shipping canceled,0,24,Women's Apparel,Hamilton,EE. UU.,XXXXXXXXX,Kathy,5707,Sampson,XXXXXXXXX,Consumer,OH,2056 Misty Grove Rise,45011,5,Golf,39.3985405,-84.55661774,Europe,Gloucester,Reino Unido,5707,9/11/2015 10:40,17363,502,20,0.100000001,43391,50,0.389999986,4,200,180,70.19999695,Northern Europe,Inglaterra,CANCELED,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,9/15/2015 10:40,Standard Class
TRANSFER,4,4,38.86999893,143.9600067,Shipping canceled,0,29,Shop By Sport,Baltimore,EE. UU.,XXXXXXXXX,Mary,10549,Atkinson,XXXXXXXXX,Consumer,MD,8773 Colonial Shadow Maze,21206,5,Golf,39.13785553,-76.81587219,Europe,Turin,Italia,10549,7/14/2015 2:31,13298,627,16,0.100000001,33272,39.99000168,0.270000011,4,159.9600067,143.9600067,38.86999893,Southern Europe,Piamonte,CANCELED,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,7/18/2015 2:31,Standard Class
TRANSFER,3,4,43.15999985,166,Shipping canceled,0,24,Women's Apparel,Roseburg,EE. UU.,XXXXXXXXX,Cynthia,2682,Miller,XXXXXXXXX,Consumer,OR,5430 Burning Rise Route,97470,5,Golf,43.20556259,-123.3465195,Europe,Messina,Italia,2682,9/24/2015 4:52,18237,502,34,0.170000002,45583,50,0.25999999,4,200,166,43.15999985,Southern Europe,Sicilia,CANCELED,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,9/27/2015 4:52,Standard Class
TRANSFER,4,4,41.06000137,131.1699982,Shipping canceled,0,29,Shop By Sport,Modesto,EE. UU.,XXXXXXXXX,James,467,Smith,XXXXXXXXX,Consumer,CA,6324 Golden Line,95350,5,Golf,37.66708756,-120.9958801,Europe,Helsinki,Finlandia,467,9/4/2017 10:01,66958,627,28.79000092,0.180000007,167369,39.99000168,0.310000002,4,159.9600067,131.1699982,41.06000137,Northern Europe,Uusimaa,CANCELED,,627,29,,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,9/8/2017 10:01,Standard Class
TRANSFER,5,4,77.08000183,164,Shipping canceled,0,24,Women's Apparel,New York,EE. UU.,XXXXXXXXX,Jennifer,10577,Fuentes,XXXXXXXXX,Consumer,NY,5659 Shady Cloud Port,10003,5,Golf,40.73124313,-73.98880768,Europe,Miramas,Francia,10577,9/1/2017 14:03,66764,502,36,0.180000007,166874,50,0.469999999,4,200,164,77.08000183,Western Europe,Provenza-Alpes-Costa Azul,CANCELED,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,9/6/2017 14:03,Standard Class
TRANSFER,5,4,56,160,Shipping canceled,0,24,Women's Apparel,New York,EE. UU.,XXXXXXXXX,Jennifer,10577,Fuentes,XXXXXXXXX,Consumer,NY,5659 Shady Cloud Port,10003,5,Golf,40.73124313,-73.98880768,Europe,Miramas,Francia,10577,9/1/2017 14:03,66764,502,40,0.200000003,166870,50,0.349999994,4,200,160,56,Western Europe,Provenza-Alpes-Costa Azul,CANCELED,,502,24,,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,Nike Men's Dri-FIT Victory Golf Polo,50,0,9/6/2017 14:03,Standard Class
TRANSFER,4,4,43.18000031,89.95999908,Shipping canceled,0,40,Accessories,New Bedford,EE. UU.,XXXXXXXXX,Mary,3471,Franco,XXXXXXXXX,Consumer,MA,1214 Dusty Crescent,2740,6,Outdoors,41.63562393,-70.93080139,Europe,Sofia,Bulgaria,3471,12/4/2016 11:48,48193,905,10,0.100000001,120515,24.98999977,0.479999989,4,99.95999908,89.95999908,43.18000031,Eastern Europe,Sof�a-Ciudad,CANCELED,,905,40,,http://images.acmesports.sports/Team+Golf+Texas+Longhorns+Putter+Grip,Team Golf Texas Longhorns Putter Grip,24.98999977,0,12/8/2016 11:48,Standard Class
TRANSFER,2,4,31.84000015,90.95999908,Advance shipping,0,5,Lacrosse,Encinitas,EE. UU.,XXXXXXXXX,Betty,3535,Rodgers,XXXXXXXXX,Consumer,CA,1795 Fallen Corners,92024,2,Fitness,33.04647064,-117.2896729,Europe,Granada,Espa�a,3535,8/11/2015 7:44,15231,93,9,0.090000004,38097,24.98999977,0.349999994,4,99.95999908,90.95999908,31.84000015,Southern Europe,Andaluc�a,PENDING,,93,5,,http://images.acmesports.sports/Under+Armour+Men%27s+Tech+II+T-Shirt,Under Armour Men's Tech II T-Shirt,24.98999977,0,8/13/2015 7:44,Standard Class
TRANSFER,2,4,11.94999981,199.1699982,Advance shipping,0,3,Baseball & Softball,San Jose,EE. UU.,XXXXXXXXX,Mary,11715,Smith,XXXXXXXXX,Consumer,CA,9761 Quaking Acres,95116,2,Fitness,37.36024094,-121.8450699,Europe,Mont-Saint-Aignan,Francia,11715,6/2/2015 13:06,10451,44,40.79000092,0.170000002,26173,59.99000168,0.059999999,4,239.9600067,199.1699982,11.94999981,Western Europe,Normand�a,PENDING,,44,3,,http://images.acmesports.sports/adidas+Men%27s+F10+Messi+TRX+FG+Soccer+Cleat,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000168,0,6/4/2015 13:06,Standard Class
TRANSFER,5,4,-599.9400024,399.9599915,Late delivery,1,9,Cardio Equipment,Rome,EE. UU.,XXXXXXXXX,Daniel,9814,Smith,XXXXXXXXX,Consumer,NY,6115 Clear River Key,13440,3,Footwear,43.21662521,-75.45603943,Europe,Berl�n,Alemania,9814,6/2/2015 15:54,10459,191,0,0,26195,99.98999786,-1.5,4,399.9599915,399.9599915,-599.9400024,Western Europe,Berl�n,PENDING,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,6/7/2015 15:54,Standard Class
TRANSFER,3,4,182.3399963,387.9599915,Advance shipping,0,9,Cardio Equipment,Watsonville,EE. UU.,XXXXXXXXX,Jennifer,4848,Morgan,XXXXXXXXX,Consumer,CA,1985 Sunny Manor,95076,3,Footwear,36.93397141,-121.7434616,Europe,Turin,Italia,4848,7/26/2017 11:28,64222,191,12,0.029999999,160566,99.98999786,0.469999999,4,399.9599915,387.9599915,182.3399963,Southern Europe,Piamonte,PENDING,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,7/29/2017 11:28,Standard Class
TRANSFER,3,4,111.3499985,383.9599915,Advance shipping,0,9,Cardio Equipment,Meridian,EE. UU.,XXXXXXXXX,Mary,569,Frye,XXXXXXXXX,Consumer,ID,4834 Easy Terrace,83642,3,Footwear,43.56052399,-116.3960342,Europe,Cagliari,Italia,569,7/21/2017 21:07,63907,191,16,0.039999999,159751,99.98999786,0.289999992,4,399.9599915,383.9599915,111.3499985,Southern Europe,Cerde�a,PENDING,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,7/24/2017 21:07,Standard Class
TRANSFER,4,4,170.9799957,379.9599915,Shipping on time,0,9,Cardio Equipment,Houston,EE. UU.,XXXXXXXXX,Mary,5749,Smith,XXXXXXXXX,Consumer,TX,6058 Fallen Walk,77084,3,Footwear,29.86195946,-95.64417267,Europe,Milan,Italia,5749,10/7/2015 22:33,19178,191,20,0.050000001,47915,99.98999786,0.449999988,4,399.9599915,379.9599915,170.9799957,Southern Europe,Lombard�a,PENDING,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,10/11/2015 22:33,Standard Class
TRANSFER,2,4,38,379.9599915,Advance shipping,0,9,Cardio Equipment,Los Angeles,EE. UU.,XXXXXXXXX,Mary,4460,Smith,XXXXXXXXX,Consumer,CA,3200 Amber Bend,90027,3,Footwear,34.12594605,-118.2910156,Europe,Erftstadt,Alemania,4460,9/5/2017 16:50,67046,191,20,0.050000001,167612,99.98999786,0.100000001,4,399.9599915,379.9599915,38,Western Europe,Renania del Norte-Westfalia,PENDING,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,9/7/2017 16:50,Standard Class
TRANSFER,3,4,185.1999969,377.9599915,Advance shipping,0,9,Cardio Equipment,Brooklyn,EE. UU.,XXXXXXXXX,Anna,6506,Bailey,XXXXXXXXX,Consumer,NY,1773 Amber Walk,11229,3,Footwear,40.60237885,-73.95497131,Europe,Harrow,Reino Unido,6506,8/11/2017 9:21,65312,191,22,0.059999999,163231,99.98999786,0.49000001,4,399.9599915,377.9599915,185.1999969,Northern Europe,Inglaterra,PENDING,,191,9,,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,8/14/2017 9:21,Standard Class
